City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
616,Ulaangom,MN,49.9811,92.0667,37.0,34,0,4.03,clear sky
617,Chernyshevskiy,RU,63.0128,112.4714,1.2,87,100,5.73,overcast clouds
618,Abu Dhabi,AE,24.4667,54.3667,75.2,73,0,10.36,clear sky
619,Aykhal,RU,66.0,111.5,-8.0,91,100,9.08,overcast clouds
620,Salta,AR,-24.7859,-65.4117,62.6,94,75,4.61,broken clouds
621,Mugur-Aksy,RU,50.35,90.5,25.92,38,0,2.46,clear sky
622,Vilyuysk,RU,63.7553,121.6247,2.71,82,100,3.58,overcast clouds
623,Finnsnes,NO,69.2296,17.9811,30.2,93,100,2.3,light snow
624,Mackay,AU,-21.15,149.2,78.8,83,75,16.11,broken clouds
625,Veraval,IN,20.9,70.3667,81.3,64,9,5.57,clear sky
626,Ixtapa,MX,20.7,-105.2,77.0,78,20,5.75,few clouds
627,Luganville,VU,-15.5333,167.1667,83.79,80,90,11.41,overcast clouds
628,Buraydah,SA,26.326,43.975,57.2,38,0,9.22,clear sky
629,Pemberton,CA,50.3164,-122.8027,46.4,93,100,1.14,overcast clouds
630,Kodumudi,IN,11.0775,77.8836,83.86,55,86,8.9,overcast clouds
631,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,88,75,20.71,broken clouds
632,Doha,QA,25.2867,51.5333,69.8,56,0,19.57,clear sky
